id	lang	scale	placement	tags	det_lang	det_prob	lang_ok	wer	errs	nwords	tag_leak	text	hyp
small_en_combined_superhappy_01	en	small	combined	['super happy', 'pitch up']	en	0.9931640625	True	0.0	0	6	False	[super happy] [pitch up] You got into your dream school!	You got into your dream school.
small_en_leading_sad_01	en	small	leading	['sad']	en	0.99755859375	True	0.0	0	10	False	[sad] I didn't think saying goodbye would be this hard.	I didn't think saying goodbye would be this hard.
small_en_mid_gasp_01	en	small	mid	['gasp']	en	0.99609375	True	0.0	0	9	False	She opened the box and [gasp] it was the ring.	She opened the box, and it was the ring.
small_en_multi_angry_01	en	small	multi	['angry', 'sad', 'soft']	en	0.998046875	True	0.0	0	10	False	[angry] You lied to me. [sad] After everything. [soft] I just need space.	You lied to me. After everything, I just need space.
small_en_neutral_neutral_01	en	small	neutral	[]	en	0.9990234375	True	0.2222222222222222	2	9	False	The bakery on Fifth opens at seven on weekdays.	The bakery on 5th opens at 7 on weekdays.
reply_en_per_sentence_sad_01	en	reply	per_sentence	['sad', 'sigh', 'soft']	en	0.9970703125	True	0.0	0	26	False	[sad] I wasn't able to recover the deleted file. [sigh] The backup hadn't run since Tuesday. [soft] But I can help you rebuild it step by step.	I wasn't able to recover the deleted file. The backup hadn't run since Tuesday, but I can help you rebuild it step by step.
small_en_special_laugh_01	en	small	special	['laugh']	en	0.99853515625	True	0.0	0	14	False	He tripped over the cat, caught the lamp [laugh], and bowed like it was planned.	He tripped over the cat, caught the lamp, and bowed like it was planned.
small_en_trailing_sigh_01	en	small	trailing	['sigh']	en	0.9951171875	True	0.2222222222222222	2	9	False	I've reread the same paragraph six times now [sigh].	I've re-read the same paragraph six times now.
small_en_wrap_pitchup_01	en	small	wrap	['pitch up']	en	0.99658203125	True	0.0	0	5	False	And the winner is [pitch up] you!	And the winner is you.
small_en_combined_whispersmallvo_01	en	small	combined	['whisper in a small voice', 'trembling voice']	en	0.98681640625	True	0.0	0	9	False	[whisper in a small voice] [trembling voice] Someone's standing at the end of the hall.	Someone's standing at the end of the hall.
small_en_leading_surprised_01	en	small	leading	['surprised']	en	0.99169921875	True	0.0	0	9	False	[surprised] There's a tiny kitten asleep in my boot.	There's a tiny kitten asleep in my boot.
small_en_mid_excited_01	en	small	mid	['excited']	en	0.99755859375	True	0.0	0	9	False	The phone buzzed and [excited] we'd won the contest!	The phone buzzed and we'd won the contest.
chapter_en_arc_05	en	chapter	multi	['excited', 'surprised', 'sad', 'soft']	en	0.99951171875	True	0.007462686567164179	1	134	False	[excited] We had planned the proposal for months, down to the exact bend in the coastal path where the sunset would frame the cliffs. I'd hidden the ring, bribed the waiter, and rehearsed my speech until the words felt smooth as river stones. [surprised] But when we reached the spot, she was already crying, and for one dizzy heartbeat I thought I had somehow given it all away. [sad] Through her tears she told me her grandmother, the woman who raised her, had passed that very morning, and that she had nearly cancelled our walk. [soft] So I put the ring back in my pocket and simply held her against the wind, and I told her the question would keep, and that there was no view in the world more important than her being heard right then.	We had planned the proposal for months, down to the exact bend in the coastal path where the sunset would frame the cliffs. I had hidden the ring, bribed the waiter, and rehearsed my speech until the words felt smooth as river stones. But when we reached the spot she was already crying, and for one dizzy heartbeat I thought I had somehow given it all away. Through her tears she told me her grandmother, the woman who raised her, had passed that very morning, and that she had nearly cancelled our walk. So I put the ring back in my pocket and simply held her against the wind, and I told her the question would keep, and that there was no view in the world more important than her being heard right then.
small_en_neutral_neutral_02	en	small	neutral	[]	en	0.99853515625	True	0.1	1	10	False	Mix two cups of flour with a pinch of salt.	Mix 2 cups of flour with a pinch of salt.
chapter_en_arc_02	en	chapter	per_sentence	['soft', 'sad', 'trembling voice', 'sigh', 'excited']	en	0.99951171875	True	0.013422818791946308	2	149	False	[soft] The hospital corridor was quiet at three in the morning, the kind of quiet that has weight to it. I sat with my coffee going cold and watched the second hand crawl around the clock above the nurses' station. [sad] My mother had been in that room for nine days, and each day she said a little less, until words became a luxury neither of us could afford. [trembling voice] When the doctor came out, I could not read her face, and the gap between her first step and her first word felt like falling. [sigh] She told me the fever had broken, that the worst had passed, that my mother had asked for toast and complained about the pillows. [excited] I laughed so loudly that a nurse shushed me, and I did not care one bit, because for the first time in over a week the future had a door in it again.	The hospital corridor was quiet at three in the morning, the kind of quiet that has weight to it. I sat with my coffee going cold and watched the second hand crawl around the clock above the nurse's station. My mother had been in that room for nine days, and each day she said a little less, until words became a luxury neither of us could afford. When the doctor came out, I could not read her face, and the gap between her first step and her first word felt like falling. She told me the fever had broken, that the worst had passed, that my mother had asked for toast and complained about the pillows. I laughed so loudly that a nurse shushed me, and I did not care one bit, because for the first time in over a week the future had a door in it again.
small_en_special_chuckle_01	en	small	special	['chuckle']	en	0.970703125	True	0.0	0	9	False	You really named the goldfish Sir Reginald [chuckle] the Third?	You really named the goldfish Sir Reginald the Third?
small_en_trailing_laugh_01	en	small	trailing	['laugh']	en	0.99560546875	True	0.0	0	8	False	And then the dog stole the entire roast [laugh].	And then the dog stole the entire roast.
small_en_wrap_whispering_01_s2	en	small	wrap	['whispering']	en	0.99609375	True	0.0	0	5	False	Please be [whispering] very quiet now.	Please be very quiet now.
small_en_combined_hurrytone_01_s2	en	small	combined	['in a hurry tone', 'excited']	en	0.99755859375	True	0.0	0	6	False	[in a hurry tone] [excited] Come on, the parade is starting!	Come on, the parade is starting!
small_en_leading_whispers_01	en	small	leading	['whispers']	en	0.99755859375	True	0.0	0	8	False	[whispers] The baby just fell asleep, so tread lightly.	The baby just fell asleep, so tread lightly.
reply_en_mid_whispers_01	en	reply	mid	['whispers']	en	0.99853515625	True	0.0	0	18	False	Everyone else is still in the meeting, so [whispers] I'll send you the summary quietly before they notice.	Everyone else is still in the meeting, so I'll send you the summary quietly before they notice.
small_en_multi_happy_01_s2	en	small	multi	['happy', 'surprised', 'laughing']	en	0.99853515625	True	0.0	0	9	False	[happy] You came! [surprised] Wait, is that a cake? [laughing] You remembered!	You came. Wait, is that a cake? You remembered.
small_en_neutral_neutral_03	en	small	neutral	[]	en	0.99658203125	True	0.1111111111111111	1	9	False	The train to the coast leaves from platform nine.	The train to the coast leaves from Platform 9.
reply_en_per_sentence_excited_01_s2	en	reply	per_sentence	['excited', 'happy', 'laughing']	en	0.99755859375	True	0.0	0	17	False	[excited] Your code finally compiled! [happy] Every test is passing now. [laughing] I knew that missing semicolon was the culprit.	your code finally compiled. Every test is passing now. I knew that missing semicolon was the culprit.
reply_en_special_laugh_01	en	reply	special	['laugh']	en	0.99609375	True	0.05555555555555555	1	18	False	So I followed your recipe exactly, and the soufflé rose beautifully [laugh] right before it collapsed into the oven.	So I followed your recipe exactly and the souffle rose beautifully right before it collapsed into the oven.
small_en_trailing_whispers_01	en	small	trailing	['whispers']	en	0.998046875	True	0.0	0	10	False	Don't tell anyone, but I ate the last cookie [whispers].	Don't tell anyone, but I ate the last cookie.
small_en_wrap_shouting_01_s2	en	small	wrap	['shouting']	en	0.9765625	True	0.0	0	7	False	I told you to [shouting] stop the car!	I told you to stop the car!
reply_en_combined_hurrytone_01_s2	en	reply	combined	['in a hurry tone', 'excited']	en	0.9970703125	True	0.0	0	14	False	[in a hurry tone] [excited] Grab your coat, the northern lights are out and they won't last long!	Grab your coat, the northern lights are out and they won't last long.
reply_en_leading_soft_01	en	reply	leading	['soft']	en	0.99658203125	True	0.0	0	18	False	[soft] That sounds like a really rough week. Take your time, and tell me whatever feels most pressing first.	That sounds like a really rough week. Take your time and tell me whatever feels most pressing first.
small_en_mid_fearful_01_s2	en	small	mid	['fearful']	en	0.99853515625	True	0.0	0	9	False	I was halfway down the trail when [fearful] something growled.	I was halfway down the trail when something growled.
small_en_multi_excited_01_s2	en	small	multi	['excited', 'fearful', 'whispering']	en	0.99609375	True	0.0	0	12	False	[excited] We made it to the cave! [fearful] Did you hear that? [whispering] Stay close.	We made it to the cave. Did you hear that? Stay close.
reply_en_neutral_neutral_01	en	reply	neutral	[]	en	0.99951171875	True	0.125	2	16	False	I've scheduled the meeting for ten on Thursday and sent invites to the whole team.	I scheduled the meeting for 10 on Thursday and sent invites to the whole team.
reply_en_per_sentence_surprised_01_s2	en	reply	per_sentence	['surprised', 'happy', 'excited']	en	0.9951171875	True	0.0	0	16	False	[surprised] Wait, you ran a marathon? [happy] That is genuinely incredible. [excited] Tell me everything about the finish line!	Wait, you ran a marathon? That is genuinely incredible. Tell me everything about the finish line.
small_en_special_sighing_01_s2	en	small	special	['sighing']	en	0.990234375	True	0.0	0	12	False	I packed everything, double-checked the list [sighing], and still forgot my charger.	I packed everything, double-checked the list, and still forgot my charger.
reply_en_trailing_chuckle_01	en	reply	trailing	['chuckle']	en	0.99658203125	True	0.07692307692307693	1	13	False	I tried your shortcut and somehow ended up with thirty browser tabs open [chuckle].	I tried your shortcut and somehow ended up with 30 browser tabs open.
reply_en_wrap_one_word_20	en	reply	wrap	['whispers']	en	0.99755859375	True	0.0	0	30	False	The whole hall went quiet when the curator lifted the cloth, and someone behind me said [whispers] extraordinary, and that was the only word anyone managed for a good ten seconds.	The whole hall went quiet when the curator lifted the cloth, and someone behind me said, Extraordinary, and that was the only word anyone managed for a good ten seconds.
reply_en_combined_softsad_20	en	reply	combined	['soft', 'sad']	en	0.998046875	True	0.0	0	35	False	[soft] [sad] I found his handwriting in the margin of the cookbook, just a note about using less salt. Such an ordinary thing to leave behind, and I couldn't put the book down for an hour.	I found his handwriting in the margin of the cookbook, just a note about using less salt. Such an ordinary thing to leave behind, and I couldn't put the book down for an hour.
small_en_leading_excited_01_s2	en	small	leading	['excited']	en	0.9638671875	True	0.0	0	9	False	[excited] We finally got the keys to our first house!	We finally got the keys to our first house.
small_en_mid_disdainful_01_s2	en	small	mid	['disdainful']	en	0.998046875	True	0.0	0	10	False	He called it gourmet but [disdainful] it was a frozen burrito.	He called it gourmet, but it was a frozen burrito.
reply_en_multi_fearful_01_s2	en	reply	multi	['fearful', 'surprised', 'happy']	en	0.99853515625	True	0.0	0	18	False	[fearful] The smoke alarm went off at midnight. [surprised] Turns out it was just the toaster. [happy] Crisis averted, breakfast saved.	The smoke alarm went off at midnight. Turns out it was just the toaster. Crisis averted. Breakfast saved.
reply_en_neutral_neutral_02	en	reply	neutral	[]	en	0.99951171875	True	0.0	0	12	False	To reset your password, open settings, choose security, and select change password.	To reset your password, open Settings, choose Security, and select Change Password.
