id	scale	lang	placement	tags	text	wav	n_samples	sample_rate	seconds
small_en_combined_superhappy_01	small	en	combined	super happy,pitch up	[super happy] [pitch up] You got into your dream school!	en/small_en_combined_superhappy_01.wav	94208	44100	2.136
small_en_leading_sad_01	small	en	leading	sad	[sad] I didn't think saying goodbye would be this hard.	en/small_en_leading_sad_01.wav	124928	44100	2.833
small_en_mid_gasp_01	small	en	mid	gasp	She opened the box and [gasp] it was the ring.	en/small_en_mid_gasp_01.wav	145408	44100	3.297
small_en_multi_angry_01	small	en	multi	angry,sad,soft	[angry] You lied to me. [sad] After everything. [soft] I just need space.	en/small_en_multi_angry_01.wav	172032	44100	3.901
small_en_neutral_neutral_01	small	en	neutral		The bakery on Fifth opens at seven on weekdays.	en/small_en_neutral_neutral_01.wav	143360	44100	3.251
reply_en_per_sentence_sad_01	reply	en	per_sentence	sad,sigh,soft	[sad] I wasn't able to recover the deleted file. [sigh] The backup hadn't run since Tuesday. [soft] But I can help you rebuild it step by step.	en/reply_en_per_sentence_sad_01.wav	364544	44100	8.266
small_en_special_laugh_01	small	en	special	laugh	He tripped over the cat, caught the lamp [laugh], and bowed like it was planned.	en/small_en_special_laugh_01.wav	223232	44100	5.062
small_en_trailing_sigh_01	small	en	trailing	sigh	I've reread the same paragraph six times now [sigh].	en/small_en_trailing_sigh_01.wav	157696	44100	3.576
small_en_wrap_pitchup_01	small	en	wrap	pitch up	And the winner is [pitch up] you!	en/small_en_wrap_pitchup_01.wav	71680	44100	1.625
small_en_combined_whispersmallvo_01	small	en	combined	whisper in a small voice,trembling voice	[whisper in a small voice] [trembling voice] Someone's standing at the end of the hall.	en/small_en_combined_whispersmallvo_01.wav	86016	44100	1.950
small_en_leading_surprised_01	small	en	leading	surprised	[surprised] There's a tiny kitten asleep in my boot.	en/small_en_leading_surprised_01.wav	129024	44100	2.926
small_en_mid_excited_01	small	en	mid	excited	The phone buzzed and [excited] we'd won the contest!	en/small_en_mid_excited_01.wav	122880	44100	2.786
